typ;utförande;tjocklek_mm;bredd_mm;hållfasthetsklass;sorteringsklass;längd_mm;antal;källa
artikel;hyvlat;22;70;C24;T2;4200;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;70;C24;T2;4500;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;70;C24;T2;4800;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;70;C24;T2;5100;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;70;C24;T2;5400;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;70;C24;T2;5700;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;70;C24;T2;6000;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;70;C24;T2;6600;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;70;C24;T2;7200;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;70;C24;T2;7800;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;70;C24;T2;8400;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;70;C24;T2;9000;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;70;C24;T2;9600;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;70;C24;T2;10200;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;95;C24;T2;2400;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;95;C24;T2;2700;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;95;C24;T2;3000;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;95;C24;T2;3300;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;95;C24;T2;3600;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;95;C24;T2;3900;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;95;C24;T2;4200;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;95;C24;T2;4500;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;95;C24;T2;4800;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;95;C24;T2;5100;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;95;C24;T2;5400;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;95;C24;T2;5700;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;95;C24;T2;6000;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;95;C24;T2;6600;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;95;C24;T2;7200;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;95;C24;T2;7800;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;95;C24;T2;8400;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;95;C24;T2;9000;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;95;C24;T2;9600;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;95;C24;T2;10200;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C16;;2400;400;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C16;;2700;400;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C16;;3000;400;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C16;;3300;400;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C16;;3600;400;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C16;;3900;400;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C16;;4200;400;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C16;;4500;400;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C16;;4800;400;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C16;;5100;400;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C16;;5400;400;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C16;;5700;400;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C16;;6000;400;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C16;;6600;400;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C16;;7200;400;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C16;;7800;400;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C16;;8400;400;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C16;;9000;400;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C16;;9600;400;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C16;;10200;400;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C24;T2;2400;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C24;T2;2700;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C24;T2;3000;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C24;T2;3300;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C24;T2;3600;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C24;T2;3900;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C24;T2;4200;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C24;T2;4500;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C24;T2;4800;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C24;T2;5100;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C24;T2;5400;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C24;T2;5700;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C24;T2;6000;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C24;T2;6600;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C24;T2;7200;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C24;T2;7800;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C24;T2;8400;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C24;T2;9000;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C24;T2;9600;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;22;145;C24;T2;10200;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;70;C24;T2;2400;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;70;C24;T2;2700;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;70;C24;T2;3000;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;70;C24;T2;3300;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;70;C24;T2;3600;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;70;C24;T2;3900;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;70;C24;T2;4200;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;70;C24;T2;4500;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;70;C24;T2;4800;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;70;C24;T2;5100;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;70;C24;T2;5400;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;70;C24;T2;5700;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;70;C24;T2;6000;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;70;C24;T2;6600;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;70;C24;T2;7200;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;70;C24;T2;7800;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;70;C24;T2;8400;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;70;C24;T2;9000;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;70;C24;T2;9600;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;70;C24;T2;10200;60;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;95;C24;T2;2400;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;95;C24;T2;2700;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;95;C24;T2;3000;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;95;C24;T2;3300;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;95;C24;T2;3600;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;95;C24;T2;3900;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;95;C24;T2;4200;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;95;C24;T2;4500;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;95;C24;T2;4800;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;95;C24;T2;5100;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;95;C24;T2;5400;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;95;C24;T2;5700;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;95;C24;T2;6000;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;95;C24;T2;6600;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;95;C24;T2;7200;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;95;C24;T2;7800;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;95;C24;T2;8400;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;95;C24;T2;9000;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;95;C24;T2;9600;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;28;95;C24;T2;10200;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;45;C24;T2;2400;30;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;45;C24;T2;2700;30;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;45;C24;T2;3000;30;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;45;C24;T2;3300;30;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;45;C24;T2;3600;30;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;45;C24;T2;3900;30;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;45;C24;T2;4200;30;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;45;C24;T2;4500;30;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;45;C24;T2;4800;30;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;45;C24;T2;5100;30;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;45;C24;T2;5400;30;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;45;C24;T2;5700;30;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;45;C24;T2;6000;30;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;45;C24;T2;6600;30;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;45;C24;T2;7200;30;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;45;C24;T2;7800;30;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;45;C24;T2;8400;30;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;45;C24;T2;9000;30;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;45;C24;T2;9600;30;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;45;C24;T2;10200;30;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;70;C24;T2;2400;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;70;C24;T2;2700;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;70;C24;T2;3000;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;70;C24;T2;3300;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;70;C24;T2;3600;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;70;C24;T2;3900;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;70;C24;T2;4200;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;70;C24;T2;4500;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;70;C24;T2;4800;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;70;C24;T2;5100;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;70;C24;T2;5400;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;70;C24;T2;5700;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;70;C24;T2;6000;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;70;C24;T2;6600;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;70;C24;T2;7200;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;70;C24;T2;7800;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;70;C24;T2;8400;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;70;C24;T2;9000;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;70;C24;T2;9600;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;70;C24;T2;10200;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;95;C24;T2;2400;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;95;C24;T2;2700;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;95;C24;T2;3000;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;95;C24;T2;3300;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;95;C24;T2;3600;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;95;C24;T2;3900;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;95;C24;T2;4200;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
artikel;hyvlat;34;95;C24;T2;4500;20;Påhittat lager (Har allt brädgård), tvärsnitt och klasser enligt svenskt_tra_virkessortiment.csv
