typ;utförande;tjocklek_mm;bredd_mm;hållfasthetsklass;sorteringsklass;längd_mm;antal;källa
artikel;hyvlat;28;70;C24;T2;4800;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;70;C24;T2;5100;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;70;C24;T2;5400;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;95;C14;T0;3000;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;95;C14;T0;3300;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;95;C14;T0;3600;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;95;C14;T0;3900;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;95;C14;T0;4200;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;95;C14;T0;4500;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;95;C14;T0;4800;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;95;C14;T0;5100;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;28;95;C14;T0;5400;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;34;45;C14;T0;3000;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;34;45;C14;T0;3300;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;34;45;C14;T0;3600;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;34;45;C14;T0;3900;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;34;45;C14;T0;4200;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;34;45;C14;T0;4500;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;34;45;C14;T0;4800;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;34;45;C14;T0;5100;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;34;45;C14;T0;5400;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;34;45;C24;T2;3000;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;34;45;C24;T2;3300;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;34;45;C24;T2;3600;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;34;45;C24;T2;3900;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;34;45;C24;T2;4200;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;34;45;C24;T2;4500;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;34;45;C24;T2;4800;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;34;45;C24;T2;5100;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;34;45;C24;T2;5400;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;45;C16;;3000;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;45;C16;;3300;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;45;C16;;3600;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;45;C16;;3900;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;45;C16;;4200;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;45;C16;;4500;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;45;C16;;4800;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;45;C16;;5100;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;45;C16;;5400;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;45;C24;T2;3000;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;45;C24;T2;3300;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;45;C24;T2;3600;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;45;C24;T2;3900;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;45;C24;T2;4200;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;45;C24;T2;4500;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;45;C24;T2;4800;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;45;C24;T2;5100;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;45;C24;T2;5400;1;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;70;C24;T2;3000;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;70;C24;T2;3300;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;70;C24;T2;3600;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;70;C24;T2;3900;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;70;C24;T2;4200;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;70;C24;T2;4500;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;70;C24;T2;4800;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;70;C24;T2;5100;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;70;C24;T2;5400;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;95;C16;;3000;35;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;95;C16;;3300;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;95;C16;;3600;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;95;C16;;3900;35;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;95;C16;;4200;30;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;95;C16;;4500;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;95;C16;;4800;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;95;C16;;5100;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;95;C16;;5400;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;95;C24;T2;3000;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;95;C24;T2;3300;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;95;C24;T2;3600;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;95;C24;T2;3900;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;95;C24;T2;4200;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;95;C24;T2;4500;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;95;C24;T2;4800;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;95;C24;T2;5100;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;95;C24;T2;5400;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;120;C24;T2;3000;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;120;C24;T2;3300;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;120;C24;T2;3600;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;120;C24;T2;3900;40;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;120;C24;T2;4200;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;120;C24;T2;4500;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;120;C24;T2;4800;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;120;C24;T2;5100;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;120;C24;T2;5400;35;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;145;C16;;3000;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;145;C16;;3300;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;145;C16;;3600;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;145;C16;;3900;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;145;C16;;4200;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;145;C16;;4500;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;145;C16;;4800;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;145;C16;;5100;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;145;C16;;5400;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;145;C24;T2;3000;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;145;C24;T2;3300;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;145;C24;T2;3600;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;145;C24;T2;3900;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;145;C24;T2;4200;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;145;C24;T2;4500;35;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;145;C24;T2;4800;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;145;C24;T2;5100;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;145;C24;T2;5400;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;170;C24;T2;3000;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;170;C24;T2;3300;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;170;C24;T2;3600;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;170;C24;T2;3900;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;170;C24;T2;4200;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;170;C24;T2;4500;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;170;C24;T2;4800;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;170;C24;T2;5100;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;170;C24;T2;5400;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;195;C24;T2;3000;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;195;C24;T2;3300;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;195;C24;T2;3600;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;195;C24;T2;3900;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;195;C24;T2;4200;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;195;C24;T2;4500;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;195;C24;T2;4800;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;195;C24;T2;5100;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;195;C24;T2;5400;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;220;C16;;3000;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;220;C16;;3300;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;220;C16;;3600;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;220;C16;;3900;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;220;C16;;4200;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;220;C16;;4500;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;220;C16;;4800;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;220;C16;;5100;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;220;C16;;5400;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;220;C24;T2;3000;60;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;220;C24;T2;3300;35;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;220;C24;T2;3600;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;220;C24;T2;3900;30;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;220;C24;T2;4200;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;220;C24;T2;4500;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;220;C24;T2;4800;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;220;C24;T2;5100;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;220;C24;T2;5400;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;245;C24;T2;3000;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;245;C24;T2;3300;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;245;C24;T2;3600;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;245;C24;T2;3900;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;245;C24;T2;4200;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;245;C24;T2;4500;10;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;245;C24;T2;4800;25;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;245;C24;T2;5100;20;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
artikel;hyvlat;45;245;C24;T2;5400;15;Påhittat lager (Standard brädgård), tvärsnitt enligt Svenskt Trä, längder 3,0–5,4 m
